pair,pA,qA,KA,pB,qB,KB,r_ens,mean_ln_d_ens,frac_d_gt_1,r0,rlag_max64,MI_MM_bits,chi2_z,R_alpha_A,period_A,lambda1_A
sameTopo_dK,2,3,0.700,2,3,0.710,0.772877,-2.1765,0.2388,0.999819,0.999819,3.34893,61412.51,0.3264,60,-0.1845
sameTopo_dK,3,5,0.700,3,5,0.710,0.114220,-0.0677,0.8081,-0.919418,0.999934,4.00011,70700.07,1.0000,16,-0.3728
crossTopo_sameK,2,3,0.700,3,5,0.700,-0.034482,0.7820,0.9316,-0.000055,0.000111,0.23894,1553.42,0.3264,60,-0.1845
sameTopo_dK,2,3,0.720,2,3,0.730,0.757314,-2.1405,0.2476,0.999893,0.999893,3.33474,62525.27,0.3143,60,-0.0108
sameTopo_dK,3,5,0.720,3,5,0.730,0.095001,-0.0772,0.8101,0.391067,0.999878,4.00011,49171.69,1.0000,16,-0.0905
crossTopo_sameK,2,3,0.720,3,5,0.720,0.013346,0.7767,0.9351,0.000057,0.000111,0.31069,1955.77,0.3143,60,-0.0108
sameTopo_dK,2,3,0.740,2,3,0.750,-0.001463,0.6922,0.9185,0.121414,0.130337,0.02850,124.29,0.3025,60,-0.0659
sameTopo_dK,3,5,0.740,3,5,0.750,0.156202,0.1405,0.8057,0.998214,0.998215,4.00000,34193.43,0.9925,0,0.0000
crossTopo_sameK,2,3,0.740,3,5,0.740,-0.000340,0.7531,0.9341,-0.000054,0.000102,0.29697,1279.93,0.3025,60,-0.0659
sameTopo_dK,2,3,0.760,2,3,0.770,-0.005224,0.7456,0.9092,-0.002138,0.008392,-0.00021,-0.98,0.2344,0,0.3330
sameTopo_dK,3,5,0.760,3,5,0.770,0.166909,0.1311,0.7808,0.377714,0.995713,3.82356,32116.75,0.9819,0,0.1166
crossTopo_sameK,2,3,0.760,3,5,0.760,0.019966,0.7708,0.9238,0.001841,0.002367,0.00028,0.77,0.2344,0,0.3330
sameTopo_dK,2,3,0.780,2,3,0.790,0.026529,0.7455,0.9165,-0.009570,0.022946,0.00033,1.04,0.2185,0,0.3409
sameTopo_dK,3,5,0.780,3,5,0.790,0.146682,0.3591,0.7905,0.899789,0.983162,2.98005,18148.07,0.9235,80,-0.0621
crossTopo_sameK,2,3,0.780,3,5,0.780,-0.009224,0.7771,0.9214,0.002545,0.003512,-0.00086,-2.77,0.2185,0,0.3409
sameTopo_dK,2,3,0.800,2,3,0.810,0.022042,0.7626,0.9194,0.006746,0.017495,0.00051,1.51,0.1767,0,0.4338
sameTopo_dK,3,5,0.800,3,5,0.810,0.020666,0.7829,0.9336,0.001469,0.014154,0.00003,0.08,0.2201,0,0.8968
crossTopo_sameK,2,3,0.800,3,5,0.800,-0.022927,0.7946,0.9336,-0.006348,0.011441,-0.00002,-0.12,0.1767,0,0.4338
sameTopo_dK,2,3,0.820,2,3,0.830,-0.025809,0.7540,0.9155,0.001727,0.027656,0.00056,1.84,0.1731,0,0.4617
sameTopo_dK,3,5,0.820,3,5,0.830,-0.008109,0.6277,0.8916,-0.921646,0.999909,4.50017,60888.24,0.2938,32,-0.0585
crossTopo_sameK,2,3,0.820,3,5,0.820,-0.046170,0.7974,0.9282,-0.001734,0.002492,-0.00045,-1.49,0.1731,0,0.4617
sameTopo_dK,2,3,0.840,2,3,0.850,0.039168,0.7665,0.9219,0.001258,0.016996,0.00001,0.06,0.1734,0,0.4924
sameTopo_dK,3,5,0.840,3,5,0.850,0.006169,0.7581,0.9189,-0.006294,0.009771,0.00046,1.43,0.3041,0,0.0274
crossTopo_sameK,2,3,0.840,3,5,0.840,0.001842,0.7918,0.9307,0.000297,0.005348,-0.00049,-1.68,0.1734,0,0.4924
sameTopo_dK,2,3,0.860,2,3,0.870,-0.027489,0.7559,0.9111,0.001487,0.011816,0.00047,1.36,0.1718,0,0.5200
sameTopo_dK,3,5,0.860,3,5,0.870,0.035067,0.7801,0.9263,-0.003475,0.004530,0.00065,1.98,0.7687,0,-0.0000
crossTopo_sameK,2,3,0.860,3,5,0.860,-0.011520,0.7737,0.9219,-0.001294,0.004102,0.00088,2.77,0.1718,0,0.5200
sameTopo_dK,2,3,0.880,2,3,0.890,0.023541,0.7540,0.9150,0.007148,0.012707,-0.00033,-1.98,0.1353,0,0.5665
sameTopo_dK,3,5,0.880,3,5,0.890,-0.011831,0.7764,0.9204,-0.007975,0.011615,0.00086,2.72,0.1578,0,1.0369
crossTopo_sameK,2,3,0.880,3,5,0.880,-0.006473,0.7908,0.9316,0.003292,0.016523,0.00014,0.35,0.1353,0,0.5665
sameTopo_dK,2,3,0.900,2,3,0.910,0.017979,0.6481,0.9355,-0.000039,0.000047,2.84027,50305.10,0.3090,15,-0.3065
sameTopo_dK,3,5,0.900,3,5,0.910,-0.021572,0.7805,0.9175,0.003307,0.009388,-0.00047,-1.55,0.1481,0,1.0898
crossTopo_sameK,2,3,0.900,3,5,0.900,0.061873,0.7592,0.9155,-0.003245,0.004426,0.00005,0.33,0.3090,15,-0.3065
sameTopo_dK,2,3,0.920,2,3,0.930,-0.004895,0.7611,0.9141,-0.006282,0.016388,-0.00027,-0.90,0.0700,0,0.6386
sameTopo_dK,3,5,0.920,3,5,0.930,-0.005230,0.7777,0.9233,0.000337,0.010755,0.00036,1.08,0.1659,0,1.1160
crossTopo_sameK,2,3,0.920,3,5,0.920,-0.011748,0.7859,0.9307,0.007385,0.012141,0.00050,1.54,0.0700,0,0.6386
sameTopo_dK,2,3,0.940,2,3,0.950,0.000060,0.7589,0.9150,0.005273,0.014876,0.00007,0.28,0.0603,0,0.6817
sameTopo_dK,3,5,0.940,3,5,0.950,0.033691,0.7584,0.9219,-0.003634,0.016475,-0.00013,-0.46,0.1400,0,1.1384
crossTopo_sameK,2,3,0.940,3,5,0.940,0.018877,0.7729,0.9185,0.001260,0.011904,-0.00006,-0.23,0.0603,0,0.6817
sameTopo_dK,2,3,0.960,2,3,0.970,-0.033837,0.8112,0.9316,-0.004031,0.019417,0.00013,0.29,0.0803,0,0.7393
sameTopo_dK,3,5,0.960,3,5,0.970,-0.003317,0.7695,0.9224,0.001856,0.013056,-0.00001,-0.08,0.1401,0,1.1700
crossTopo_sameK,2,3,0.960,3,5,0.960,0.011972,0.7921,0.9302,0.002190,0.012446,-0.00026,-0.86,0.0803,0,0.7393
sameTopo_dK,2,3,0.980,2,3,0.990,0.015409,0.7660,0.9189,0.004018,0.015766,0.00018,0.47,0.0820,0,0.7721
sameTopo_dK,3,5,0.980,3,5,0.990,-0.006414,0.7793,0.9238,-0.011972,0.014639,-0.00025,-0.81,0.1448,0,1.1764
crossTopo_sameK,2,3,0.980,3,5,0.980,0.005172,0.7731,0.9204,0.002066,0.017031,0.00040,1.32,0.0820,0,0.7721
sameTopo_dK,2,3,1.000,2,3,1.010,-0.015991,0.7929,0.9253,-0.004683,0.009372,0.00005,0.32,0.0934,0,0.8194
sameTopo_dK,3,5,1.000,3,5,1.010,0.016703,0.7704,0.9238,0.003757,0.012575,0.00022,0.61,0.1176,0,1.2186
crossTopo_sameK,2,3,1.000,3,5,1.000,-0.039807,0.7995,0.9316,-0.000510,0.013585,0.00011,0.30,0.0934,0,0.8194
