mode,update,p,q,K,delta,t,mean_ln_d,frac_d_gt_1,r_cos1,r_cos2,r_sin1
omega,gs,3,5,12,1.000e-10,10,0.776693,0.920349,0.001265,0.001767,0.004560
omega,gs,3,5,12,1.000e-10,11,0.772588,0.917358,-0.005442,0.009755,-0.001780
omega,gs,3,5,12,1.000e-10,12,0.778363,0.919495,-0.009171,-0.003315,0.010399
omega,gs,3,5,12,1.000e-10,13,0.777002,0.919434,-0.008989,-0.005278,0.003840
omega,gs,3,5,12,1.000e-10,14,0.776550,0.922791,0.014162,0.000457,-0.010677
omega,gs,3,5,12,1.000e-10,15,0.779715,0.921570,-0.002314,0.001401,0.009742
omega,gs,3,5,12,1.000e-10,16,0.774515,0.918030,0.009331,-0.003526,-0.000340
omega,gs,3,5,12,1.000e-10,17,0.781387,0.920959,-0.001468,-0.001933,-0.002433
omega,gs,3,5,12,1.000e-10,18,0.771492,0.917419,0.009575,0.012325,-0.006196
omega,gs,3,5,12,1.000e-10,19,0.781986,0.920349,-0.005087,0.002129,-0.015400
omega,gs,3,5,12,1.000e-10,20,0.775899,0.920471,-0.005626,-0.007238,0.002002
omega,gs,3,5,12,1.000e-10,21,0.774677,0.919250,0.000235,-0.000840,0.003160
omega,gs,3,5,12,1.000e-10,22,0.779271,0.921570,0.004475,-0.007028,0.005023
omega,gs,3,5,12,1.000e-10,23,0.775487,0.920349,0.009754,0.007937,-0.006350
omega,gs,3,5,12,1.000e-10,24,0.785290,0.926208,-0.011367,0.000279,-0.004714
omega,gs,3,5,12,1.000e-10,25,0.780679,0.922852,0.009140,-0.020536,-0.000680
omega,gs,3,5,12,1.000e-10,26,0.775988,0.920593,-0.014275,0.002877,0.005510
omega,gs,3,5,12,1.000e-10,27,0.777136,0.916931,-0.003360,-0.000403,-0.007923
omega,gs,3,5,12,1.000e-10,28,0.773250,0.920837,0.011668,0.004773,-0.000368
omega,gs,3,5,12,1.000e-10,29,0.782339,0.922180,0.000509,-0.000717,-0.005890
omega,gs,3,5,12,1.000e-10,30,0.772923,0.918457,0.005289,-0.007640,0.006039
omega,gs,3,5,12,1.000e-10,31,0.778118,0.923096,-0.006652,-0.000923,0.000529
omega,gs,3,5,12,1.000e-10,32,0.774299,0.921631,0.005123,0.009574,-0.005326
omega,gs,3,5,12,1.000e-10,33,0.772201,0.919373,0.001371,-0.005158,0.008254
omega,gs,3,5,12,1.000e-10,34,0.785399,0.923157,-0.014706,-0.022959,-0.001846
