mode,update,p,q,K,delta,t,mean_ln_d,frac_d_gt_1,r_cos1,r_cos2,r_sin1
omega,gs,17,23,12,1.000e-10,34,0.784596,0.924866,-0.008485,-0.019694,0.004239
omega,gs,17,23,12,1.000e-10,35,0.771953,0.918213,0.002365,0.017068,-0.003109
omega,gs,17,23,12,1.000e-10,36,0.780186,0.921814,-0.001106,-0.000005,-0.009027
omega,gs,17,23,12,1.000e-10,37,0.776967,0.921875,0.012086,0.001089,-0.004397
omega,gs,17,23,12,1.000e-10,38,0.777252,0.921814,-0.002712,0.002242,0.001609
omega,gs,17,23,12,1.000e-10,39,0.776792,0.921387,-0.006713,0.004872,0.011706
omega,gs,17,23,12,1.000e-10,40,0.783736,0.923462,-0.006695,-0.005645,-0.002699
omega,gs,17,23,12,1.000e-10,41,0.772750,0.917969,0.004008,0.005748,0.001990
omega,gs,17,23,12,1.000e-10,42,0.772286,0.919556,0.019418,-0.004278,0.015165
omega,gs,17,23,12,1.000e-10,43,0.776474,0.918579,0.004377,0.001960,0.001051
omega,gs,17,23,12,1.000e-10,44,0.767865,0.915100,-0.000014,0.001811,0.009218
omega,gs,17,23,12,1.000e-10,45,0.778685,0.920715,0.002020,-0.000913,-0.000270
omega,gs,17,23,12,1.000e-10,46,0.779124,0.918518,0.000929,-0.002094,-0.001396
omega,gs,17,23,12,1.000e-10,47,0.779728,0.919800,-0.003925,-0.007396,-0.006081
omega,gs,17,23,12,1.000e-10,48,0.776891,0.921875,-0.000127,-0.000763,0.006835
omega,gs,17,23,12,1.000e-10,49,0.770697,0.919067,0.002766,0.016505,0.006208
omega,gs,17,23,12,1.000e-10,50,0.774271,0.917175,0.001416,-0.003347,0.000468
omega,gs,17,23,12,1.000e-10,51,0.772350,0.919983,0.001419,0.001770,0.004732
omega,gs,17,23,12,1.000e-10,52,0.771625,0.918701,0.012680,0.004986,0.001236
omega,gs,17,23,12,1.000e-10,53,0.781955,0.923340,0.002672,-0.001943,-0.008434
omega,gs,17,23,12,1.000e-10,54,0.778449,0.919800,0.005922,-0.010519,-0.006287
omega,gs,17,23,12,1.000e-10,55,0.777185,0.921570,0.003257,-0.003447,-0.001177
omega,gs,17,23,12,1.000e-10,56,0.777027,0.920288,-0.002675,0.005673,0.003698
omega,gs,17,23,12,1.000e-10,57,0.782514,0.920776,-0.003481,0.006237,-0.007780
omega,gs,17,23,12,1.000e-10,58,0.776964,0.923523,-0.001944,0.014095,-0.004111
omega,gs,17,23,12,1.000e-10,59,0.771093,0.916748,-0.002114,0.005006,0.006797
omega,gs,17,23,12,1.000e-10,60,0.777095,0.920654,-0.005808,0.000912,0.000962
omega,gs,17,23,12,1.000e-10,61,0.774518,0.922485,0.001869,0.006041,0.004430
omega,gs,17,23,12,1.000e-10,62,0.780252,0.920959,0.000924,0.001390,-0.001650
omega,gs,17,23,12,1.000e-10,63,0.771293,0.917053,0.006384,0.002910,0.013389
omega,gs,17,23,12,1.000e-10,64,0.774577,0.918945,0.003106,-0.001395,0.002101
omega,gs,17,23,12,1.000e-10,65,0.784133,0.923523,-0.008694,-0.011361,-0.006409
omega,gs,17,23,12,1.000e-10,66,0.773985,0.919434,-0.012880,0.002908,0.006108
omega,gs,17,23,12,1.000e-10,67,0.773460,0.920349,-0.012152,-0.009933,0.014376
omega,gs,17,23,12,1.000e-10,68,0.782750,0.923889,-0.006089,-0.005716,-0.002568
omega,gs,17,23,12,1.000e-10,69,0.787924,0.926392,-0.023021,-0.003227,-0.010364
omega,gs,17,23,12,1.000e-10,70,0.780025,0.921692,0.005823,0.003891,-0.010327
omega,gs,17,23,12,1.000e-10,71,0.769023,0.918884,0.008369,0.015063,0.005170
omega,gs,17,23,12,1.000e-10,72,0.778649,0.921448,0.001378,-0.018165,-0.006443
omega,gs,17,23,12,1.000e-10,73,0.777094,0.922058,-0.002612,0.003954,0.001688
omega,gs,17,23,12,1.000e-10,74,0.774392,0.919983,0.011178,0.012773,-0.001392
omega,gs,17,23,12,1.000e-10,75,0.772882,0.919739,-0.004871,-0.007904,0.007401
omega,gs,17,23,12,1.000e-10,76,0.770757,0.918152,0.006509,-0.003685,0.005639
omega,gs,17,23,12,1.000e-10,77,0.779942,0.923706,-0.006928,0.003674,-0.001190
omega,gs,17,23,12,1.000e-10,78,0.780300,0.919434,-0.005066,-0.006998,0.005860
omega,gs,17,23,12,1.000e-10,79,0.776482,0.922241,-0.000896,-0.005635,-0.001252
omega,gs,17,23,12,1.000e-10,80,0.780944,0.922668,-0.002334,-0.006804,-0.000207
omega,gs,17,23,12,1.000e-08,1,-18.420681,0.000000,1.000000,1.000000,1.000000
omega,gs,17,23,12,1.000e-08,2,-9.165521,0.000000,1.000000,1.000000,1.000000
omega,gs,17,23,12,1.000e-08,3,-0.420891,0.509033,0.999551,0.256024,0.999561
omega,gs,17,23,12,1.000e-08,4,0.766195,0.914795,0.000527,-0.004370,0.020721
omega,gs,17,23,12,1.000e-08,5,0.774514,0.919678,0.011300,0.004179,-0.009402
omega,gs,17,23,12,1.000e-08,6,0.772510,0.920593,0.006037,0.007176,-0.005508
omega,gs,17,23,12,1.000e-08,7,0.775555,0.919800,-0.014674,-0.000240,0.001267
omega,gs,17,23,12,1.000e-08,8,0.780579,0.922974,0.000788,-0.012899,0.006413
omega,gs,17,23,12,1.000e-08,9,0.775132,0.920166,0.000243,0.009061,0.005258
omega,gs,17,23,12,1.000e-08,10,0.779567,0.923279,0.000421,-0.008140,-0.008572
omega,gs,17,23,12,1.000e-08,11,0.774430,0.920166,-0.000746,0.006520,0.003584
omega,gs,17,23,12,1.000e-08,12,0.784885,0.920776,-0.010226,-0.014833,-0.008432
omega,gs,17,23,12,1.000e-08,13,0.775987,0.918945,-0.008626,-0.001334,0.012554
omega,gs,17,23,12,1.000e-08,14,0.773006,0.917297,0.000606,0.008292,0.002098
omega,gs,17,23,12,1.000e-08,15,0.777168,0.920593,0.000002,-0.007412,0.001212
omega,gs,17,23,12,1.000e-08,16,0.777578,0.922363,0.003954,-0.009548,0.001413
