p,q,K,lambda1,W_unwrapped,R_alpha,R_theta1,R_theta2,period,chi2_bytes
7,11,0.54,1.6108,2.033958,0.1816,0.0024,0.0010,0,265.2
7,11,0.56,1.6023,1.967365,0.1737,0.0021,0.0012,0,251.2
7,11,0.58,1.6482,2.036693,0.1257,0.0027,0.0006,0,254.2
7,11,0.60,1.6108,2.029987,0.1257,0.0038,0.0014,0,224.8
7,11,0.62,-0.3418,1.571429,1.0000,0.0000,0.0000,36,6611111.1
7,11,0.64,0.6236,1.623789,0.8052,0.0008,0.0005,0,259.8
7,11,0.66,1.8178,2.081475,0.0560,0.0055,0.0002,0,265.1
7,11,0.68,1.8916,2.101626,0.0277,0.0011,0.0003,0,272.4
7,11,0.70,1.9549,2.167022,0.0434,0.0017,0.0007,0,284.8
7,11,0.72,2.0003,2.117182,0.0537,0.0024,0.0015,0,256.2
7,11,0.74,2.0352,2.123847,0.0549,0.0045,0.0018,0,272.9
7,11,0.76,2.0727,2.103337,0.0555,0.0031,0.0024,0,222.8
7,11,0.78,2.1103,2.073062,0.0675,0.0011,0.0010,0,281.9
7,11,0.80,2.1297,2.105670,0.0370,0.0026,0.0004,0,232.7
7,11,0.82,2.2229,2.142678,0.0198,0.0050,0.0007,0,290.3
7,11,0.84,2.2869,2.111910,0.0369,0.0050,0.0021,0,243.5
7,11,0.86,2.3361,2.120339,0.0347,0.0029,0.0006,0,241.2
7,11,0.88,2.3833,2.145920,0.0416,0.0039,0.0019,0,219.9
7,11,0.90,2.4177,2.150273,0.0270,0.0041,0.0012,0,271.9
7,11,0.92,2.4455,2.159721,0.0157,0.0068,0.0028,0,280.7
7,11,0.94,2.4726,2.161987,0.0177,0.0043,0.0006,0,247.6
7,11,0.96,2.4742,2.212673,0.0460,0.0022,0.0032,0,316.8
7,11,0.98,-2.2711,-1.000000,1.0000,0.0001,0.0001,18,13722222.2
7,11,1.00,2.3219,2.548843,0.1695,0.0065,0.0008,0,237.8
