# MCL bifurcation sweep (fine step-0.005) — Doc ID MCL-BIFSWEEP-2026-0719-001
# engine v6.0.0 frozen copy, seed 12345678901234, (p,q)=(3,5), QR 1e5 iters
K,lmax,l2,th_min,th_max,buckets,class
1.795,2.119130,0.839502,0.012616,6.278570,197,CHAOTIC
1.800,2.108164,0.830331,0.017665,6.249296,200,CHAOTIC
1.805,2.095649,0.824756,0.016925,6.271461,195,CHAOTIC
1.810,2.079606,0.817424,0.021548,6.206117,198,CHAOTIC
1.815,2.064772,0.821820,0.006159,6.234719,199,CHAOTIC
1.820,2.076312,0.818107,0.005476,6.279066,194,CHAOTIC
1.825,2.082823,0.817436,0.006942,6.276944,196,CHAOTIC
1.830,2.089647,0.814676,0.030313,6.279045,198,CHAOTIC
1.835,2.106184,0.814303,0.019415,6.241797,197,CHAOTIC
1.840,2.123651,0.820318,0.040062,6.281853,195,CHAOTIC
1.845,2.123807,0.817285,0.059370,6.266635,194,CHAOTIC
1.850,2.135916,0.824511,0.025373,6.215056,193,CHAOTIC
1.855,2.150641,0.834163,0.002504,6.275653,199,CHAOTIC
1.860,2.156394,0.841880,0.044745,6.250813,197,CHAOTIC
1.865,2.167577,0.849476,0.014190,6.268983,197,CHAOTIC
1.870,2.172922,0.850746,0.019163,6.175698,199,CHAOTIC
1.875,2.183816,0.851830,0.006184,6.235798,197,CHAOTIC
1.880,2.189918,0.855706,0.024386,6.274589,195,CHAOTIC
1.885,2.196356,0.865912,0.000821,6.257139,197,CHAOTIC
1.890,2.206253,0.859262,0.004665,6.255203,196,CHAOTIC
1.895,2.204216,0.861590,0.061905,6.267359,198,CHAOTIC
1.900,2.217106,0.855239,0.050135,6.192846,197,CHAOTIC
1.905,2.211595,0.857404,0.010153,6.262677,197,CHAOTIC
1.910,2.218450,0.858162,0.004248,6.253277,195,CHAOTIC
1.915,2.222114,0.860992,0.029433,6.282800,198,CHAOTIC
1.920,2.228909,0.859994,0.018857,6.273492,197,CHAOTIC
1.925,2.237348,0.858808,0.004018,6.270980,197,CHAOTIC
1.930,2.241499,0.865031,0.005104,6.226834,196,CHAOTIC
1.935,2.245393,0.870192,0.023565,6.279415,197,CHAOTIC
1.940,2.260978,0.871708,0.028045,6.217697,199,CHAOTIC
1.945,2.262523,0.877953,0.000374,6.276545,195,CHAOTIC
1.950,2.278883,0.883638,0.009684,6.209219,195,CHAOTIC
1.955,2.285523,0.882284,0.012365,6.247000,199,CHAOTIC
1.960,2.296498,0.884835,0.062164,6.278555,197,CHAOTIC
1.965,2.300548,0.886314,0.007863,6.267996,199,CHAOTIC
1.970,2.309174,0.887854,0.027447,6.148521,198,CHAOTIC
1.975,2.317215,0.887299,0.046255,6.248674,200,CHAOTIC
1.980,2.317248,0.890190,0.060413,6.196445,198,CHAOTIC
1.985,2.328483,0.892069,0.017169,6.204303,197,CHAOTIC
1.990,2.323366,0.887652,0.072375,6.127493,198,CHAOTIC
1.995,2.335877,0.892508,0.059420,6.257284,199,CHAOTIC
2.000,2.337100,0.889981,0.015076,6.258429,194,CHAOTIC
2.005,2.340546,0.889511,0.051349,6.277164,194,CHAOTIC
2.010,2.348722,0.891940,0.037903,6.269768,198,CHAOTIC
2.015,2.364746,0.894318,0.058178,6.212088,198,CHAOTIC
2.020,2.365332,0.895905,0.005457,6.266986,199,CHAOTIC
2.025,2.372145,0.901281,0.010245,6.264148,194,CHAOTIC
2.030,2.375257,0.908362,0.006340,6.272284,198,CHAOTIC
2.035,2.383422,0.899827,0.014103,6.183796,197,CHAOTIC
2.040,2.386903,0.906938,0.028036,6.279026,198,CHAOTIC
2.045,2.383876,0.904727,0.032478,6.280788,197,CHAOTIC
2.050,2.395323,0.901597,0.036245,6.269873,199,CHAOTIC
2.055,2.388680,0.908597,0.000579,6.261799,198,CHAOTIC
2.060,2.391641,0.899466,0.003532,6.249109,198,CHAOTIC
2.065,2.391342,0.903008,0.008479,6.270899,198,CHAOTIC
